  Num,     Heure,          Camion,          Contrat,       Formule, Tank Bit,   Poids Agrégat 1,   Poids Agrégat 2,   Poids Agrégat 3,   Poids Agrégat 4,   Poids Agrégat 5,   Poids Agrégat 6,Poids Filler    Apport,   Poids Agg Total,   Poids      Bitume,   Poids      Dope 1,   Poids       Total,     % Agrégat 1,     % Agrégat 2,     % Agrégat 3,     % Agrégat 4,     % Agrégat 5,     % Agrégat 6,  % Filler    Apport,     %         Bitume,     %         Dope 1,   Temp.     Bitume,   Temp.    Enrobés,Durée malax.     humide,   Durée      Cycle,    Silo     Stockage
1,7:20:35 AM,brodeur,"",2010,3,1228,1136,0,0,0,0,83.1,2447,142.5,0.0,2590,50.19,46.41,0.00,0.00,0.00,0.00,3.40,5.50,0.00,0,155,30,108,0
2,7:21:31 AM,brodeur,"",2010,3,1216,1136,0,0,0,0,82.7,2435,141.5,0.0,2576,49.93,46.68,0.00,0.00,0.00,0.00,3.40,5.49,0.00,0,165,30,57,0
3,7:22:28 AM,brodeur,"",2010,3,1209,1145,0,0,0,0,87.8,2442,139.1,0.0,2581,49.50,46.91,0.00,0.00,0.00,0.00,3.60,5.39,0.00,0,172,30,57,0
4,7:23:25 AM,brodeur,"",2010,3,1207,1143,0,0,0,0,87.3,2437,137.7,0.0,2575,49.54,46.88,0.00,0.00,0.00,0.00,3.58,5.35,0.00,0,174,30,57,0
5,7:24:21 AM,brodeur,"",2010,3,1193,1148,0,0,0,0,86.1,2427,137.6,0.0,2565,49.15,47.30,0.00,0.00,0.00,0.00,3.55,5.37,0.00,0,173,30,57,0
6,7:25:18 AM,brodeur,"",2010,3,1198,1140,0,0,0,0,86.2,2424,137.6,0.0,2562,49.42,47.03,0.00,0.00,0.00,0.00,3.56,5.37,0.00,0,162,30,57,0
7,7:26:15 AM,brodeur,"",2010,3,1198,1142,0,0,0,0,85.4,2426,139.0,0.0,2565,49.39,47.09,0.00,0.00,0.00,0.00,3.52,5.42,0.00,0,155,30,57,0
8,7:27:28 AM,brodeur,"",2010,3,1174,1111,0,0,0,0,80.2,2365,134.5,0.0,2499,49.64,46.97,0.00,0.00,0.00,0.00,3.39,5.38,0.00,0,148,30,73,0
9,7:28:24 AM,brodeur,"",2010,3,1179,1117,0,0,0,0,96.5,2392,135.1,0.0,2527,49.28,46.69,0.00,0.00,0.00,0.00,4.04,5.35,0.00,0,141,30,57,0
10,7:29:22 AM,brodeur,"",2010,3,1192,1108,0,0,0,0,85.4,2386,134.5,0.0,2520,49.99,46.43,0.00,0.00,0.00,0.00,3.58,5.34,0.00,0,140,30,57,0
11,7:30:19 AM,brodeur,"",2010,3,1173,1104,0,0,0,0,75.7,2353,134.6,0.0,2488,49.85,46.93,0.00,0.00,0.00,0.00,3.22,5.41,0.00,0,136,30,57,0
12,7:31:15 AM,brodeur,"",2010,3,1193,1105,0,0,0,0,80.6,2378,134.6,0.0,2513,50.15,46.46,0.00,0.00,0.00,0.00,3.39,5.36,0.00,0,142,30,57,0
13,7:32:42 AM,brodeur,"",2010,3,1106,1116,0,0,0,0,81.0,2303,134.7,0.0,2437,48.04,48.45,0.00,0.00,0.00,0.00,3.52,5.52,0.00,0,146,30,87,0
14,7:33:39 AM,brodeur,"",2010,3,1176,1114,0,0,0,0,79.3,2369,134.9,0.0,2504,49.65,47.01,0.00,0.00,0.00,0.00,3.35,5.39,0.00,0,152,30,57,0
15,7:34:42 AM,brodeur,"",2010,3,1202,1156,0,0,0,0,84.3,2442,138.8,0.0,2581,49.22,47.33,0.00,0.00,0.00,0.00,3.45,5.38,0.00,0,156,30,64,0
16,7:35:39 AM,brodeur,"",2010,3,1218,1136,0,0,0,0,85.1,2439,139.1,0.0,2578,49.94,46.57,0.00,0.00,0.00,0.00,3.49,5.40,0.00,0,155,30,57,0
17,7:36:35 AM,brodeur,"",2010,3,1204,1143,0,0,0,0,84.4,2431,138.4,0.0,2570,49.51,47.02,0.00,0.00,0.00,0.00,3.47,5.39,0.00,0,155,30,57,0
18,7:37:32 AM,brodeur,"",2010,3,1199,1143,0,0,0,0,86.3,2429,138.4,0.0,2567,49.38,47.07,0.00,0.00,0.00,0.00,3.56,5.39,0.00,0,156,30,57,0
19,7:38:29 AM,brodeur,"",2010,3,1191,1150,0,0,0,0,93.2,2434,138.4,0.0,2573,48.94,47.23,0.00,0.00,0.00,0.00,3.83,5.38,0.00,0,154,30,57,0
20,7:39:25 AM,brodeur,"",2010,3,1371,968,0,0,0,0,85.6,2424,138.8,0.0,2563,56.55,39.92,0.00,0.00,0.00,0.00,3.53,5.42,0.00,0,153,30,57,0
21,7:40:40 AM,brodeur,"",2010,3,1334,1011,0,0,0,0,82.3,2427,138.0,0.0,2565,54.95,41.66,0.00,0.00,0.00,0.00,3.39,5.38,0.00,0,153,31,74,0
22,7:42:12 AM,benvas,"",2005,3,1201,669,427,0,0,0,82.0,2380,120.0,0.0,2500,50.48,28.12,17.96,0.00,0.00,0.00,3.44,4.80,0.00,0,149,31,92,0
23,7:43:10 AM,benvas,"",2005,3,1192,795,314,0,0,0,81.6,2383,120.3,0.0,2503,50.05,33.35,13.18,0.00,0.00,0.00,3.42,4.80,0.00,0,148,31,58,0
24,7:44:08 AM,benvas,"",2005,3,1165,667,467,0,0,0,81.4,2381,120.5,0.0,2501,48.92,28.03,19.63,0.00,0.00,0.00,3.42,4.82,0.00,0,151,31,58,0
25,7:45:23 AM,benvas,"",2005,3,1133,698,466,0,0,0,83.2,2380,120.0,0.0,2500,47.62,29.33,19.56,0.00,0.00,0.00,3.49,4.80,0.00,0,153,31,75,0
26,7:46:40 AM,benvas,"",2005,3,1129,720,445,0,0,0,83.4,2378,119.9,0.0,2498,47.49,30.27,18.73,0.00,0.00,0.00,3.50,4.80,0.00,0,154,31,77,0
27,7:47:58 AM,benvas,"",2005,3,1140,720,443,0,0,0,89.9,2393,119.8,0.0,2512,47.63,30.11,18.51,0.00,0.00,0.00,3.76,4.77,0.00,0,157,30,78,0
28,7:49:12 AM,nick,"",2007,3,1166,654,0,0,0,0,84.3,1904,109.3,0.0,2013,61.25,34.32,0.00,0.00,0.00,0.00,4.43,5.43,0.00,0,155,30,75,0
29,7:50:08 AM,nick,"",2007,3,1157,654,0,0,0,0,83.0,1893,109.8,0.0,2003,61.08,34.53,0.00,0.00,0.00,0.00,4.38,5.48,0.00,0,155,30,56,0
30,7:51:06 AM,nick,"",2007,3,1164,654,0,0,0,0,83.5,1901,109.7,0.0,2010,61.22,34.38,0.00,0.00,0.00,0.00,4.39,5.46,0.00,0,152,30,58,0
31,7:52:23 AM,longeuil,"",2007,3,1428,815,0,0,0,0,107.3,2350,138.4,0.0,2488,60.75,34.68,0.00,0.00,0.00,0.00,4.57,5.56,0.00,0,151,30,76,0
32,7:53:25 AM,longeuil,"",2007,3,1420,822,0,0,0,0,104.4,2346,136.9,0.0,2483,60.52,35.03,0.00,0.00,0.00,0.00,4.45,5.51,0.00,0,150,30,63,0
